shipment_id,customer_id,product_category,warehouse_block,mode_of_shipment,route,customer_care_calls,customer_rating,cost_of_product,prior_purchases,discount_offered,weight_in_gms,scheduled_days,actual_days,on_time_delivery,shipment_date
SHIP01872,CUST4289,Sporting Goods,F,Ship,Delhi-Bangalore,2,3,4198.13,1,5.6,5848,6,6,1,2023-07-09
SHIP01873,CUST1766,Cosmetics,A,Road,Delhi-Bangalore,4,4,3329.47,5,26.0,4278,6,8,0,2023-01-03
SHIP01874,CUST1899,Cosmetics,D,Ship,Kolkata-Delhi,3,2,3572.69,5,0.7,5689,4,8,0,2023-08-03
SHIP01875,CUST3842,Fashion,C,Flight,Delhi-Mumbai,4,4,3329.27,3,43.8,2684,8,8,1,2023-08-26
SHIP01876,CUST2878,Electronics,F,Flight,Mumbai-Chennai,6,1,4828.49,4,8.9,2638,6,11,0,2023-07-30
SHIP01877,CUST5522,Home & Garden,A,Road,Delhi-Bangalore,4,2,2373.22,6,34.0,4904,4,6,0,2023-06-28
SHIP01878,CUST7913,Books,B,Flight,Hyderabad-Pune,3,2,3156.01,0,53.2,4510,9,14,0,2023-01-17
SHIP01879,CUST6573,Electronics,F,Road,Kolkata-Delhi,1,1,4195.88,7,40.3,5625,4,6,0,2023-06-17
SHIP01880,CUST3994,Electronics,B,Flight,Hyderabad-Pune,2,4,1607.5,4,5.1,5064,6,6,1,2023-06-03
SHIP01881,CUST6658,Cosmetics,C,Ship,Hyderabad-Pune,7,4,2905.74,7,37.1,1088,5,5,1,2023-05-18
SHIP01882,CUST9782,Home & Garden,B,Flight,Delhi-Bangalore,4,5,2882.32,4,44.7,2416,5,6,0,2023-05-31
SHIP01883,CUST5361,Electronics,A,Ship,Hyderabad-Pune,3,2,2554.21,5,40.7,3563,6,9,0,2023-08-11
SHIP01884,CUST3857,Electronics,D,Road,Mumbai-Chennai,2,3,3923.13,0,54.3,1266,10,14,0,2023-05-18
SHIP01885,CUST2272,Home & Garden,D,Ship,Mumbai-Chennai,4,4,3711.49,4,14.4,5138,6,8,0,2023-10-01
SHIP01886,CUST8488,Electronics,D,Road,Kolkata-Delhi,1,5,3786.96,5,57.1,3100,7,8,0,2023-04-19
SHIP01887,CUST3152,Books,D,Ship,Kolkata-Delhi,5,1,1901.94,4,57.3,1713,9,14,0,2023-08-28
SHIP01888,CUST1549,Electronics,B,Flight,Kolkata-Delhi,6,2,2926.64,1,0.7,5235,8,13,0,2023-09-22
SHIP01889,CUST8445,Books,F,Flight,Delhi-Mumbai,3,2,1880.37,6,2.2,1299,7,8,0,2023-01-21
SHIP01890,CUST8277,Home & Garden,D,Road,Hyderabad-Pune,2,2,232.54,7,41.9,6454,6,10,0,2023-05-07
SHIP01891,CUST8716,Books,A,Road,Delhi-Bangalore,2,2,2161.09,7,59.2,6262,6,5,1,2023-07-27
SHIP01892,CUST1264,Sporting Goods,D,Road,Bangalore-Chennai,5,4,1712.57,8,49.4,6539,7,12,0,2023-02-11
SHIP01893,CUST4362,Sporting Goods,D,Ship,Mumbai-Chennai,6,2,3512.24,8,49.1,4275,3,5,0,2023-08-30
SHIP01894,CUST6286,Electronics,C,Road,Delhi-Bangalore,2,1,3502.9,0,17.1,5595,3,7,0,2023-06-11
SHIP01895,CUST2273,Sporting Goods,D,Road,Bangalore-Chennai,4,1,2094.96,3,12.1,1501,9,14,0,2023-12-25
SHIP01896,CUST1242,Cosmetics,B,Road,Hyderabad-Pune,2,5,4212.6,1,43.7,5641,4,6,0,2023-03-25
SHIP01897,CUST3521,Cosmetics,C,Ship,Delhi-Bangalore,4,1,2341.95,0,34.7,3522,5,7,0,2023-03-03
SHIP01898,CUST5783,Fashion,A,Ship,Bangalore-Chennai,6,5,2724.25,3,63.2,1713,7,7,1,2023-07-27
SHIP01899,CUST1315,Electronics,C,Flight,Hyderabad-Pune,5,4,2303.24,6,38.9,1520,6,7,0,2023-06-04
SHIP01900,CUST8195,Fashion,A,Flight,Mumbai-Chennai,5,5,895.79,4,15.1,5199,8,13,0,2023-10-03
SHIP01901,CUST1889,Books,B,Road,Bangalore-Chennai,7,1,2382.95,8,7.3,4862,7,11,0,2023-05-06
SHIP01902,CUST7175,Books,C,Road,Delhi-Bangalore,6,1,1784.33,8,37.7,1424,3,5,0,2023-11-21
SHIP01903,CUST5138,Sporting Goods,B,Road,Hyderabad-Pune,1,3,107.22,7,50.4,1937,4,6,0,2023-11-30
SHIP01904,CUST3557,Cosmetics,C,Ship,Kolkata-Delhi,1,2,252.33,8,2.0,6247,10,9,1,2023-11-03
SHIP01905,CUST7588,Fashion,F,Ship,Hyderabad-Pune,4,5,951.88,4,54.1,5313,4,6,0,2023-03-23
SHIP01906,CUST1315,Cosmetics,B,Road,Hyderabad-Pune,6,5,4833.11,2,41.7,4825,8,13,0,2023-01-16
SHIP01907,CUST7864,Sporting Goods,A,Flight,Hyderabad-Pune,6,1,3624.24,6,55.8,2404,7,6,1,2023-02-08
SHIP01908,CUST3169,Electronics,F,Ship,Hyderabad-Pune,2,1,1276.53,1,29.7,6206,10,12,0,2023-07-20
SHIP01909,CUST5334,Home & Garden,C,Ship,Mumbai-Chennai,7,5,1969.28,2,41.7,3736,5,7,0,2023-04-10
SHIP01910,CUST3926,Electronics,C,Road,Bangalore-Chennai,2,3,895.3,5,14.0,5887,10,9,1,2023-02-11
SHIP01911,CUST3559,Fashion,D,Flight,Delhi-Bangalore,1,2,2801.47,4,37.0,4318,3,6,0,2023-02-16
SHIP01912,CUST7172,Books,D,Ship,Delhi-Bangalore,7,3,1287.19,5,8.6,6650,3,3,1,2023-11-09
SHIP01913,CUST6814,Fashion,D,Flight,Hyderabad-Pune,7,1,3529.57,7,51.3,3280,7,6,1,2023-06-30
SHIP01914,CUST5456,Sporting Goods,F,Ship,Delhi-Mumbai,3,5,2313.67,7,16.2,4026,3,3,1,2023-07-24
SHIP01915,CUST7735,Fashion,B,Ship,Delhi-Bangalore,4,1,1967.68,7,39.3,6119,7,11,0,2023-07-24
SHIP01916,CUST2207,Fashion,C,Road,Mumbai-Chennai,5,4,4842.17,2,8.8,1413,9,10,0,2023-10-27
SHIP01917,CUST9592,Cosmetics,B,Ship,Kolkata-Delhi,5,5,731.17,6,27.1,1595,7,7,1,2023-11-06
SHIP01918,CUST7687,Fashion,B,Flight,Kolkata-Delhi,5,5,4552.54,2,38.2,5941,10,13,0,2023-10-26
SHIP01919,CUST8822,Cosmetics,F,Road,Kolkata-Delhi,6,4,2309.61,2,24.2,4553,6,6,1,2023-06-14
SHIP01920,CUST5047,Home & Garden,F,Ship,Delhi-Mumbai,5,3,4486.54,3,6.2,2639,3,4,0,2023-03-04
SHIP01921,CUST2386,Fashion,B,Flight,Delhi-Mumbai,1,1,4494.34,4,19.3,6344,6,11,0,2023-11-03
SHIP01922,CUST2103,Home & Garden,B,Ship,Mumbai-Chennai,6,5,446.51,4,7.7,2672,10,12,0,2023-03-17
SHIP01923,CUST9905,Cosmetics,B,Ship,Hyderabad-Pune,5,5,2230.42,5,54.1,4143,10,11,0,2023-03-19
SHIP01924,CUST3218,Home & Garden,A,Flight,Hyderabad-Pune,6,2,372.49,2,15.2,2901,7,7,1,2023-12-08
SHIP01925,CUST7989,Cosmetics,F,Ship,Hyderabad-Pune,3,5,4538.15,6,8.1,5656,3,6,0,2023-09-06
SHIP01926,CUST7591,Sporting Goods,B,Ship,Delhi-Mumbai,4,3,1305.42,0,29.2,4346,3,7,0,2023-07-09
SHIP01927,CUST8055,Sporting Goods,C,Flight,Delhi-Bangalore,7,3,4262.91,0,20.1,3517,9,8,1,2023-09-27
SHIP01928,CUST3676,Home & Garden,B,Ship,Bangalore-Chennai,2,4,3336.33,5,55.3,1794,10,11,0,2023-03-03
SHIP01929,CUST9031,Cosmetics,B,Road,Delhi-Bangalore,1,4,4953.84,5,4.0,4432,3,2,1,2023-09-12
SHIP01930,CUST3938,Electronics,B,Road,Mumbai-Chennai,7,5,3746.63,1,38.4,5224,4,9,0,2023-10-22
SHIP01931,CUST8530,Electronics,B,Flight,Bangalore-Chennai,2,3,4273.74,4,17.9,4674,10,10,1,2023-04-18
SHIP01932,CUST1001,Home & Garden,D,Flight,Delhi-Mumbai,4,5,2138.32,2,50.3,3582,7,10,0,2023-11-08
SHIP01933,CUST8707,Cosmetics,C,Ship,Hyderabad-Pune,1,4,3186.39,8,55.5,3926,4,3,1,2023-12-21
SHIP01934,CUST4914,Books,B,Road,Hyderabad-Pune,3,1,1413.12,6,12.5,3095,4,6,0,2023-12-22
SHIP01935,CUST6800,Sporting Goods,A,Flight,Mumbai-Chennai,5,1,3671.71,1,20.9,4701,3,6,0,2023-02-07
SHIP01936,CUST7429,Books,C,Ship,Hyderabad-Pune,6,1,4616.94,0,42.0,4873,7,8,0,2023-11-14
SHIP01937,CUST1185,Sporting Goods,B,Ship,Bangalore-Chennai,3,3,4474.66,1,35.1,1150,3,2,1,2023-05-26
SHIP01938,CUST9944,Fashion,B,Ship,Hyderabad-Pune,1,2,2983.98,6,50.0,6991,6,9,0,2023-12-31
SHIP01939,CUST7090,Sporting Goods,F,Flight,Bangalore-Chennai,3,1,3334.35,8,35.1,2241,3,3,1,2023-09-21
SHIP01940,CUST6536,Electronics,D,Flight,Bangalore-Chennai,4,5,1112.57,3,47.0,3806,9,10,0,2023-03-22
SHIP01941,CUST1909,Fashion,F,Flight,Mumbai-Chennai,3,1,2565.37,8,58.5,4538,9,9,1,2023-04-13
SHIP01942,CUST8912,Electronics,F,Ship,Delhi-Mumbai,6,1,3037.48,1,35.2,6921,10,9,1,2023-09-16
SHIP01943,CUST2292,Electronics,B,Road,Delhi-Bangalore,7,4,1955.0,1,21.8,3258,7,12,0,2023-04-24
SHIP01944,CUST6618,Fashion,D,Ship,Delhi-Bangalore,6,1,646.05,6,2.1,4725,8,11,0,2023-01-25
SHIP01945,CUST6137,Fashion,F,Flight,Bangalore-Chennai,1,4,2439.29,4,23.6,3281,5,5,1,2023-01-10
SHIP01946,CUST1929,Sporting Goods,B,Road,Delhi-Bangalore,1,4,3778.5,4,25.4,1601,7,9,0,2023-12-24
SHIP01947,CUST5461,Cosmetics,D,Flight,Kolkata-Delhi,2,4,981.03,5,45.7,5720,8,12,0,2023-05-05
SHIP01948,CUST4802,Electronics,B,Road,Kolkata-Delhi,1,5,1575.91,2,24.3,5550,9,8,1,2023-07-06
SHIP01949,CUST7361,Sporting Goods,D,Ship,Mumbai-Chennai,7,1,2027.52,0,25.8,2955,10,9,1,2023-04-21
SHIP01950,CUST7077,Electronics,B,Road,Hyderabad-Pune,6,1,3270.2,6,17.3,1065,9,14,0,2023-01-05
SHIP01951,CUST1717,Sporting Goods,A,Ship,Delhi-Mumbai,7,2,3231.56,2,23.7,1190,4,3,1,2023-04-21
SHIP01952,CUST4277,Cosmetics,C,Road,Kolkata-Delhi,6,5,1896.67,1,37.3,2529,7,8,0,2023-03-22
SHIP01953,CUST9739,Cosmetics,A,Ship,Kolkata-Delhi,3,4,4678.78,5,16.8,3239,9,8,1,2023-01-26
SHIP01954,CUST5683,Books,F,Road,Mumbai-Chennai,6,3,4636.07,3,33.4,2018,5,4,1,2023-06-13
SHIP01955,CUST2978,Books,F,Road,Kolkata-Delhi,3,3,2694.02,4,57.6,3318,3,7,0,2023-10-15
SHIP01956,CUST3570,Fashion,F,Road,Mumbai-Chennai,2,1,2517.28,7,3.4,6729,8,10,0,2023-07-27
SHIP01957,CUST4845,Cosmetics,A,Flight,Delhi-Bangalore,3,5,2172.98,7,0.7,4677,9,11,0,2023-01-07
SHIP01958,CUST7653,Electronics,B,Ship,Mumbai-Chennai,7,1,1893.27,5,1.8,4067,5,10,0,2023-08-04
SHIP01959,CUST2111,Cosmetics,B,Road,Bangalore-Chennai,6,1,2173.49,1,20.5,1442,6,10,0,2023-01-03
SHIP01960,CUST2013,Home & Garden,B,Ship,Mumbai-Chennai,3,1,1125.03,5,20.0,5646,8,11,0,2023-08-14
SHIP01961,CUST7150,Home & Garden,C,Ship,Delhi-Mumbai,6,3,3502.54,7,37.9,3615,7,6,1,2023-12-30
SHIP01962,CUST2309,Books,F,Road,Hyderabad-Pune,5,4,2230.16,4,55.1,4314,10,9,1,2023-10-21
SHIP01963,CUST7362,Electronics,F,Ship,Delhi-Bangalore,3,5,2524.99,8,29.9,5480,6,8,0,2023-06-19
SHIP01964,CUST8679,Electronics,B,Ship,Bangalore-Chennai,6,4,4253.07,1,35.2,3001,3,4,0,2023-12-18
SHIP01965,CUST2642,Sporting Goods,B,Ship,Delhi-Mumbai,5,3,2219.18,3,14.1,2176,3,8,0,2023-11-25
SHIP01966,CUST3183,Fashion,F,Flight,Mumbai-Chennai,3,1,1011.61,8,59.9,3639,10,10,1,2023-12-16
SHIP01967,CUST7468,Cosmetics,D,Road,Hyderabad-Pune,6,2,1365.61,7,30.8,2939,6,11,0,2023-03-25
SHIP01968,CUST6540,Books,B,Ship,Delhi-Bangalore,2,2,206.29,1,16.3,1001,5,5,1,2023-10-01
SHIP01969,CUST4094,Fashion,B,Road,Mumbai-Chennai,3,2,1140.85,4,32.2,1578,4,6,0,2023-11-12
SHIP01970,CUST8917,Home & Garden,C,Ship,Mumbai-Chennai,7,3,3481.21,2,58.3,1471,5,8,0,2023-01-05
SHIP01971,CUST2137,Fashion,F,Ship,Delhi-Mumbai,1,1,3611.44,6,51.3,3014,10,11,0,2023-08-12
SHIP01972,CUST4019,Cosmetics,B,Ship,Kolkata-Delhi,4,4,2387.62,3,61.1,4392,6,10,0,2023-03-21
SHIP01973,CUST5894,Books,D,Ship,Kolkata-Delhi,1,2,2836.71,0,15.5,1283,3,5,0,2023-07-25
SHIP01974,CUST3776,Sporting Goods,F,Flight,Delhi-Bangalore,6,3,515.59,0,41.6,6800,8,11,0,2023-06-10
SHIP01975,CUST3167,Cosmetics,C,Ship,Bangalore-Chennai,6,4,2418.89,5,32.9,4506,7,11,0,2023-01-28
SHIP01976,CUST7082,Sporting Goods,A,Flight,Delhi-Bangalore,1,1,1301.04,6,12.4,5164,10,12,0,2023-03-12
SHIP01977,CUST5298,Cosmetics,A,Flight,Hyderabad-Pune,4,3,1643.8,7,42.0,2711,8,12,0,2023-07-26
SHIP01978,CUST8936,Books,F,Road,Bangalore-Chennai,3,5,3969.01,4,38.9,6784,4,7,0,2023-04-22
SHIP01979,CUST6160,Home & Garden,A,Flight,Hyderabad-Pune,6,2,800.32,6,50.4,4575,9,8,1,2023-10-29
SHIP01980,CUST3159,Books,B,Road,Mumbai-Chennai,4,1,740.74,2,46.7,5798,7,7,1,2023-03-07
SHIP01981,CUST6399,Sporting Goods,C,Road,Mumbai-Chennai,2,3,179.79,1,11.9,4689,4,8,0,2023-02-23
SHIP01982,CUST3676,Fashion,B,Road,Hyderabad-Pune,6,3,4701.33,4,11.2,6218,9,13,0,2023-12-24
SHIP01983,CUST8554,Books,F,Road,Kolkata-Delhi,1,5,3894.32,8,9.2,2054,5,6,0,2023-07-23
SHIP01984,CUST9946,Books,D,Ship,Mumbai-Chennai,6,5,4865.4,4,4.4,5277,6,8,0,2023-09-27
SHIP01985,CUST2262,Books,B,Road,Bangalore-Chennai,3,5,3247.93,6,19.9,5710,3,5,0,2023-12-24
SHIP01986,CUST6317,Sporting Goods,D,Road,Kolkata-Delhi,5,3,2880.11,6,12.5,6556,7,9,0,2023-01-13
SHIP01987,CUST8287,Fashion,B,Flight,Delhi-Mumbai,1,5,390.83,2,27.1,4147,6,5,1,2023-11-14
SHIP01988,CUST2621,Cosmetics,C,Flight,Mumbai-Chennai,6,4,3453.48,6,61.8,3707,9,9,1,2023-01-04
SHIP01989,CUST7530,Home & Garden,C,Flight,Kolkata-Delhi,3,1,4956.87,2,16.6,4530,10,14,0,2023-09-25
SHIP01990,CUST1856,Cosmetics,F,Flight,Mumbai-Chennai,5,4,4060.95,2,18.9,1470,7,6,1,2023-01-04
SHIP01991,CUST7268,Home & Garden,C,Flight,Delhi-Mumbai,2,2,4469.69,4,16.9,5196,8,7,1,2023-08-01
SHIP01992,CUST3354,Fashion,B,Road,Kolkata-Delhi,5,4,183.24,3,54.4,4849,10,11,0,2023-01-03
SHIP01993,CUST8415,Electronics,B,Flight,Delhi-Bangalore,1,5,1561.67,4,10.0,2738,3,7,0,2023-02-02
SHIP01994,CUST1740,Books,C,Road,Delhi-Mumbai,5,5,3705.83,3,2.0,5986,9,8,1,2023-03-30
SHIP01995,CUST4483,Home & Garden,F,Ship,Hyderabad-Pune,7,4,3226.05,7,38.8,5717,7,11,0,2023-02-05
SHIP01996,CUST6515,Fashion,F,Flight,Delhi-Mumbai,2,3,2007.28,4,34.2,3447,10,10,1,2023-05-20
SHIP01997,CUST4352,Home & Garden,D,Road,Kolkata-Delhi,3,5,4871.05,0,37.2,5081,8,7,1,2023-08-26
SHIP01998,CUST1308,Home & Garden,F,Road,Hyderabad-Pune,1,2,3323.52,6,0.1,6875,6,9,0,2023-05-09
SHIP01999,CUST1725,Fashion,A,Flight,Hyderabad-Pune,5,2,1727.41,4,39.7,1143,7,8,0,2023-03-17
SHIP02000,CUST3516,Electronics,B,Ship,Hyderabad-Pune,6,4,3358.44,7,18.6,4578,10,10,1,2023-06-09
SHIP02001,CUST6985,Electronics,C,Ship,Hyderabad-Pune,4,3,4967.81,8,46.9,2650,10,11,0,2023-11-09
SHIP02002,CUST3115,Sporting Goods,C,Road,Hyderabad-Pune,7,4,3512.02,4,6.9,4442,3,6,0,2023-09-25
SHIP02003,CUST4600,Fashion,D,Ship,Bangalore-Chennai,6,3,3640.6,6,46.6,3293,5,5,1,2023-11-28
SHIP02004,CUST8873,Home & Garden,F,Ship,Delhi-Mumbai,7,4,1043.1,0,25.0,2489,5,7,0,2023-08-04
SHIP02005,CUST2416,Home & Garden,A,Road,Delhi-Mumbai,4,5,2553.2,4,50.6,4125,6,10,0,2023-11-25
SHIP02006,CUST6118,Cosmetics,F,Road,Hyderabad-Pune,7,1,4674.46,2,15.3,4769,8,13,0,2023-06-24
SHIP02007,CUST8762,Electronics,D,Road,Hyderabad-Pune,5,1,4905.41,2,14.8,6564,5,5,1,2023-12-01
SHIP02008,CUST8019,Home & Garden,C,Road,Hyderabad-Pune,6,4,372.58,8,18.2,4817,3,2,1,2023-12-29
SHIP02009,CUST5251,Electronics,D,Flight,Kolkata-Delhi,3,3,1092.37,8,5.0,5461,10,13,0,2023-06-15
SHIP02010,CUST4442,Cosmetics,F,Ship,Mumbai-Chennai,5,1,1669.99,0,36.3,3478,3,8,0,2023-08-20
SHIP02011,CUST7399,Fashion,D,Road,Delhi-Bangalore,5,3,2797.42,7,26.7,5301,8,11,0,2023-11-08
SHIP02012,CUST1276,Books,D,Flight,Delhi-Mumbai,2,2,3009.02,1,11.7,6174,3,8,0,2023-03-21
SHIP02013,CUST2445,Sporting Goods,F,Ship,Delhi-Bangalore,5,5,2662.67,6,55.1,1805,3,7,0,2023-06-20
SHIP02014,CUST9002,Electronics,D,Flight,Bangalore-Chennai,7,5,279.57,1,3.1,5801,5,10,0,2023-01-14
SHIP02015,CUST3404,Sporting Goods,F,Ship,Kolkata-Delhi,5,5,4477.98,3,17.9,6787,5,5,1,2023-09-04
SHIP02016,CUST8440,Electronics,B,Road,Mumbai-Chennai,1,4,2505.07,7,33.2,4389,9,13,0,2023-06-05
SHIP02017,CUST6805,Books,D,Ship,Kolkata-Delhi,4,2,3724.7,2,54.6,6391,6,6,1,2023-06-23
SHIP02018,CUST6394,Home & Garden,A,Road,Mumbai-Chennai,4,1,1851.63,1,34.1,6061,6,5,1,2023-06-15
SHIP02019,CUST5590,Home & Garden,A,Flight,Mumbai-Chennai,5,5,1125.26,1,20.2,3527,6,9,0,2023-05-21
SHIP02020,CUST2677,Fashion,B,Road,Mumbai-Chennai,7,1,1072.42,8,64.4,1932,10,9,1,2023-11-30
SHIP02021,CUST9746,Sporting Goods,A,Road,Delhi-Mumbai,5,4,4403.87,7,40.2,5405,8,12,0,2023-07-21
SHIP02022,CUST4803,Books,C,Road,Mumbai-Chennai,3,4,2610.65,4,26.8,4875,3,8,0,2023-03-14
SHIP02023,CUST7934,Books,D,Flight,Delhi-Mumbai,1,4,1167.85,2,39.9,4930,7,6,1,2023-04-29
SHIP02024,CUST9290,Books,B,Ship,Mumbai-Chennai,5,4,1893.65,2,39.1,6761,6,11,0,2023-09-13
SHIP02025,CUST4826,Electronics,F,Flight,Hyderabad-Pune,7,2,3582.28,2,36.7,1726,5,9,0,2023-08-13
SHIP02026,CUST5985,Books,B,Ship,Delhi-Bangalore,2,3,543.3,5,4.5,3842,8,11,0,2023-07-08
SHIP02027,CUST8091,Cosmetics,A,Flight,Delhi-Bangalore,3,3,3994.07,7,46.1,4184,7,10,0,2023-05-07
SHIP02028,CUST6658,Books,F,Flight,Hyderabad-Pune,3,1,4615.73,7,17.4,5995,5,9,0,2023-03-04
SHIP02029,CUST8240,Electronics,C,Ship,Delhi-Bangalore,2,1,2616.74,1,26.3,5520,4,6,0,2023-02-02
SHIP02030,CUST2620,Fashion,C,Flight,Bangalore-Chennai,4,4,3525.35,0,45.8,3090,4,8,0,2023-05-27
SHIP02031,CUST8368,Home & Garden,A,Road,Delhi-Bangalore,5,2,2726.47,4,43.2,2977,6,10,0,2023-09-07
SHIP02032,CUST3483,Cosmetics,C,Road,Delhi-Mumbai,5,5,1983.91,2,7.6,2545,6,11,0,2023-01-15
SHIP02033,CUST8531,Electronics,F,Road,Kolkata-Delhi,4,4,2233.99,1,0.1,3567,9,11,0,2023-08-20
SHIP02034,CUST3849,Electronics,B,Ship,Delhi-Bangalore,6,2,1416.46,8,2.6,2710,9,9,1,2023-05-23
SHIP02035,CUST4616,Cosmetics,D,Flight,Hyderabad-Pune,6,1,559.56,7,39.9,3682,10,12,0,2023-10-11
SHIP02036,CUST5523,Cosmetics,A,Flight,Mumbai-Chennai,1,5,904.6,3,50.5,3870,5,9,0,2023-06-05
SHIP02037,CUST7479,Home & Garden,D,Flight,Delhi-Bangalore,7,4,4086.42,1,35.7,3017,4,6,0,2023-06-05
SHIP02038,CUST7219,Fashion,A,Road,Hyderabad-Pune,7,3,3701.81,6,58.1,6191,10,15,0,2023-03-07
SHIP02039,CUST3587,Books,B,Flight,Bangalore-Chennai,4,4,4268.96,4,52.8,3446,8,9,0,2023-10-26
SHIP02040,CUST9971,Home & Garden,A,Ship,Bangalore-Chennai,7,3,1782.05,3,54.1,3220,3,2,1,2023-04-21
SHIP02041,CUST7542,Cosmetics,B,Ship,Hyderabad-Pune,5,2,2906.05,4,30.5,2975,7,11,0,2023-05-11
SHIP02042,CUST6917,Home & Garden,D,Road,Bangalore-Chennai,6,1,1931.58,7,19.0,2621,6,5,1,2023-05-10
SHIP02043,CUST2875,Home & Garden,F,Flight,Hyderabad-Pune,5,4,2989.26,5,13.9,2097,5,6,0,2023-02-17
SHIP02044,CUST6279,Home & Garden,B,Flight,Kolkata-Delhi,6,4,2182.14,8,12.6,6721,3,4,0,2023-01-08
SHIP02045,CUST1979,Electronics,F,Flight,Delhi-Bangalore,1,3,1110.04,1,21.1,1531,8,11,0,2023-01-27
SHIP02046,CUST8886,Sporting Goods,D,Ship,Bangalore-Chennai,1,1,2480.84,8,5.0,4736,7,7,1,2023-08-10
SHIP02047,CUST7641,Books,F,Flight,Kolkata-Delhi,3,2,1720.28,7,54.5,4330,4,3,1,2023-11-11
SHIP02048,CUST4242,Fashion,A,Flight,Mumbai-Chennai,2,2,159.96,0,3.4,2599,3,3,1,2023-08-08
SHIP02049,CUST8073,Home & Garden,C,Road,Delhi-Mumbai,6,3,4586.01,2,10.9,1782,3,3,1,2023-09-15
SHIP02050,CUST1447,Cosmetics,D,Flight,Delhi-Mumbai,1,3,469.4,5,48.0,5639,4,5,0,2023-03-20
SHIP02051,CUST7583,Cosmetics,B,Ship,Bangalore-Chennai,5,2,730.75,2,18.1,1258,5,4,1,2023-02-18
SHIP02052,CUST3137,Fashion,B,Ship,Mumbai-Chennai,4,2,3309.57,1,62.5,6029,8,8,1,2023-10-28
SHIP02053,CUST2865,Fashion,C,Road,Mumbai-Chennai,2,2,2921.79,3,14.8,2427,3,8,0,2023-02-08
SHIP02054,CUST7206,Electronics,B,Ship,Delhi-Bangalore,6,5,1345.4,6,44.2,3730,8,8,1,2023-09-22
SHIP02055,CUST4042,Sporting Goods,D,Flight,Mumbai-Chennai,5,4,2198.16,0,11.3,5781,5,5,1,2023-06-05
SHIP02056,CUST5384,Fashion,A,Road,Hyderabad-Pune,3,2,2242.6,7,41.4,4879,9,11,0,2023-04-09
SHIP02057,CUST6906,Fashion,F,Flight,Delhi-Bangalore,3,4,4190.71,1,21.7,2454,6,7,0,2023-12-05
SHIP02058,CUST6447,Sporting Goods,A,Flight,Kolkata-Delhi,7,4,4806.16,5,51.2,6239,9,11,0,2023-07-09
SHIP02059,CUST7823,Home & Garden,A,Flight,Kolkata-Delhi,7,3,1173.96,6,55.2,6717,3,6,0,2023-08-02
SHIP02060,CUST8234,Home & Garden,D,Flight,Bangalore-Chennai,3,2,1756.51,8,37.7,6647,8,8,1,2023-05-28
SHIP02061,CUST6555,Books,B,Ship,Mumbai-Chennai,2,4,2519.89,2,19.4,3775,9,9,1,2023-11-21
SHIP02062,CUST8498,Books,D,Ship,Bangalore-Chennai,6,5,4662.98,5,17.6,6401,10,9,1,2023-03-22
SHIP02063,CUST6382,Sporting Goods,D,Ship,Bangalore-Chennai,5,1,2123.5,1,25.6,5410,7,9,0,2023-10-08
SHIP02064,CUST8706,Sporting Goods,B,Road,Hyderabad-Pune,7,5,3957.91,1,27.0,3903,5,6,0,2023-10-17
SHIP02065,CUST2364,Electronics,D,Road,Bangalore-Chennai,2,4,533.08,3,1.5,2705,6,10,0,2023-09-14
SHIP02066,CUST1965,Cosmetics,B,Ship,Delhi-Mumbai,3,5,3106.37,7,62.3,6829,10,10,1,2023-07-14
SHIP02067,CUST7334,Books,C,Road,Delhi-Bangalore,1,2,4898.14,4,25.9,2609,3,6,0,2023-03-13
SHIP02068,CUST7502,Fashion,C,Road,Mumbai-Chennai,7,2,3768.46,2,25.3,6755,7,12,0,2023-08-15
SHIP02069,CUST4360,Fashion,F,Ship,Kolkata-Delhi,2,5,4316.82,4,0.7,4239,7,8,0,2023-07-27
SHIP02070,CUST2309,Books,A,Ship,Bangalore-Chennai,4,4,3621.17,7,5.7,4358,7,10,0,2023-12-07
SHIP02071,CUST7745,Books,F,Ship,Delhi-Bangalore,3,2,3040.4,0,6.8,4191,10,14,0,2023-01-14
SHIP02072,CUST1451,Electronics,D,Road,Delhi-Bangalore,5,5,1433.33,0,49.5,1666,4,4,1,2023-06-29
SHIP02073,CUST5459,Home & Garden,B,Flight,Bangalore-Chennai,4,4,3318.28,3,62.2,3241,6,6,1,2023-04-29
SHIP02074,CUST9937,Books,C,Ship,Bangalore-Chennai,1,1,4338.38,7,39.0,1308,4,5,0,2023-01-24
SHIP02075,CUST2493,Electronics,D,Ship,Mumbai-Chennai,5,5,3348.29,1,50.2,1389,4,5,0,2023-10-06
SHIP02076,CUST1633,Fashion,F,Road,Kolkata-Delhi,7,4,4636.57,6,59.5,1270,7,11,0,2023-03-24
SHIP02077,CUST1648,Fashion,C,Ship,Delhi-Mumbai,7,2,1363.3,5,19.7,3139,4,7,0,2023-11-05
SHIP02078,CUST6230,Fashion,A,Flight,Delhi-Mumbai,6,4,2870.82,1,31.6,5847,5,4,1,2023-04-18
SHIP02079,CUST7261,Electronics,A,Flight,Kolkata-Delhi,1,1,3974.51,1,13.2,2107,4,4,1,2023-10-06
SHIP02080,CUST6069,Electronics,B,Flight,Kolkata-Delhi,6,1,891.7,8,36.1,6367,4,7,0,2023-12-16
